id,name,latitude,longitude,old_province,new_province,province_mapping_status
BTS_00001,Fake Telecom Station 00001,19.648123,104.309176,Nghệ An,Nghệ An,mapped
BTS_00002,Fake Telecom Station 00002,11.731951,108.705305,Ninh Thuận,Khánh Hòa,mapped
BTS_00003,Fake Telecom Station 00003,22.408198,105.603929,Bắc Kạn,Thái Nguyên,mapped
BTS_00004,Fake Telecom Station 00004,11.990919,108.444028,Lâm Đồng,Lâm Đồng,mapped
BTS_00005,Fake Telecom Station 00005,14.316212,108.309511,Gia Lai,Gia Lai,mapped
BTS_00006,Fake Telecom Station 00006,17.572049,106.14248,Quảng Bình,Quảng Trị,mapped
BTS_00007,Fake Telecom Station 00007,21.587216,104.285461,Sơn La,Sơn La,mapped
BTS_00008,Fake Telecom Station 00008,9.225022,105.377017,Bạc Liêu,Cà Mau,mapped
BTS_00009,Fake Telecom Station 00009,11.252182,106.525964,Bình Dương,TPHCM,mapped
BTS_00010,Fake Telecom Station 00010,22.423658,104.810993,Hà Giang,Tuyên Quang,mapped
BTS_00011,Fake Telecom Station 00011,10.708518,107.32928,Đồng Nai,Đồng Nai,mapped
BTS_00012,Fake Telecom Station 00012,18.14397,105.562881,Hà Tĩnh,Hà Tĩnh,mapped
BTS_00013,Fake Telecom Station 00013,12.996782,107.964692,Đắk Lắk,Đắk Lắk,mapped
BTS_00014,Fake Telecom Station 00014,18.139757,105.902904,Hà Tĩnh,Hà Tĩnh,mapped
BTS_00015,Fake Telecom Station 00015,22.248739,104.523649,Lào Cai,Lào Cai,mapped
BTS_00016,Fake Telecom Station 00016,12.197207,107.941555,Đắk Nông,Lâm Đồng,mapped
BTS_00017,Fake Telecom Station 00017,14.681923,108.997438,Bình Định,Gia Lai,mapped
BTS_00018,Fake Telecom Station 00018,21.344003,104.479452,Sơn La,Sơn La,mapped
BTS_00019,Fake Telecom Station 00019,10.999692,107.086795,Đồng Nai,Đồng Nai,mapped
BTS_00020,Fake Telecom Station 00020,21.827688,105.503609,Tuyên Quang,Tuyên Quang,mapped
BTS_00021,Fake Telecom Station 00021,22.023213,103.769046,Lai Châu,Lai Châu,mapped
BTS_00022,Fake Telecom Station 00022,18.787348,105.053748,Nghệ An,Nghệ An,mapped
BTS_00023,Fake Telecom Station 00023,15.820367,108.042319,Quảng Nam,Đà Nẵng,mapped
BTS_00024,Fake Telecom Station 00024,12.136986,108.551047,Lâm Đồng,Lâm Đồng,mapped
BTS_00025,Fake Telecom Station 00025,14.248682,108.534622,Gia Lai,Gia Lai,mapped
BTS_00026,Fake Telecom Station 00026,11.343494,107.837355,Bình Thuận,Lâm Đồng,mapped
BTS_00027,Fake Telecom Station 00027,20.720849,105.070257,Hòa Bình,Phú Thọ,mapped
BTS_00028,Fake Telecom Station 00028,17.532237,106.224811,Quảng Bình,Quảng Trị,mapped
BTS_00029,Fake Telecom Station 00029,11.237175,108.697976,Bình Thuận,Lâm Đồng,mapped
BTS_00030,Fake Telecom Station 00030,12.758506,108.131789,Đắk Lắk,Đắk Lắk,mapped
BTS_00031,Fake Telecom Station 00031,17.929721,106.088254,Quảng Bình,Quảng Trị,mapped
BTS_00032,Fake Telecom Station 00032,21.168601,103.380373,Điện Biên,Điện Biên,mapped
BTS_00033,Fake Telecom Station 00033,14.536255,107.607966,Kon Tum,Quảng Ngãi,mapped
BTS_00034,Fake Telecom Station 00034,14.460753,108.826898,Bình Định,Gia Lai,mapped
BTS_00035,Fake Telecom Station 00035,9.598385,105.067046,Kiên Giang,An Giang,mapped
BTS_00036,Fake Telecom Station 00036,14.219477,108.221216,Gia Lai,Gia Lai,mapped
