id,name,latitude,longitude,old_province,new_province,province_mapping_status
BTS_05001,Fake Telecom Station 05001,21.275442,103.278396,Điện Biên,Điện Biên,mapped
BTS_05002,Fake Telecom Station 05002,22.666195,105.859087,Cao Bằng,Cao Bằng,mapped
BTS_05003,Fake Telecom Station 05003,11.507653,108.225959,Lâm Đồng,Lâm Đồng,mapped
BTS_05004,Fake Telecom Station 05004,9.615117,106.05685,Sóc Trăng,Cần Thơ,mapped
BTS_05005,Fake Telecom Station 05005,19.214277,105.427867,Nghệ An,Nghệ An,mapped
BTS_05006,Fake Telecom Station 05006,22.111868,104.16484,Lào Cai,Lào Cai,mapped
BTS_05007,Fake Telecom Station 05007,21.242634,103.511215,Sơn La,Sơn La,mapped
BTS_05008,Fake Telecom Station 05008,10.971892,106.805461,Đồng Nai,Đồng Nai,mapped
BTS_05009,Fake Telecom Station 05009,21.491473,105.414389,Vĩnh Phúc,Phú Thọ,mapped
BTS_05010,Fake Telecom Station 05010,22.546579,106.459956,Cao Bằng,Cao Bằng,mapped
BTS_05011,Fake Telecom Station 05011,17.960479,105.832901,Quảng Bình,Quảng Trị,mapped
BTS_05012,Fake Telecom Station 05012,16.484042,107.118555,Quảng Trị,Quảng Trị,mapped
BTS_05013,Fake Telecom Station 05013,8.582379,104.82166,Cà Mau,Cà Mau,mapped
BTS_05014,Fake Telecom Station 05014,21.489142,103.69151,Sơn La,Sơn La,mapped
BTS_05015,Fake Telecom Station 05015,11.198801,107.736058,Bình Thuận,Lâm Đồng,mapped
BTS_05016,Fake Telecom Station 05016,22.685924,105.148485,Hà Giang,Tuyên Quang,mapped
BTS_05017,Fake Telecom Station 05017,16.267466,107.912838,Thừa Thiên Huế,Huế,mapped
BTS_05018,Fake Telecom Station 05018,12.319542,108.670939,Đắk Lắk,Đắk Lắk,mapped
BTS_05019,Fake Telecom Station 05019,21.016209,104.542119,Sơn La,Sơn La,mapped
BTS_05020,Fake Telecom Station 05020,17.745017,106.190238,Quảng Bình,Quảng Trị,mapped
BTS_05021,Fake Telecom Station 05021,11.587601,108.510379,Lâm Đồng,Lâm Đồng,mapped
BTS_05022,Fake Telecom Station 05022,12.634216,108.465638,Đắk Lắk,Đắk Lắk,mapped
BTS_05023,Fake Telecom Station 05023,11.945815,108.460481,Lâm Đồng,Lâm Đồng,mapped
BTS_05024,Fake Telecom Station 05024,22.167806,104.994529,Tuyên Quang,Tuyên Quang,mapped
BTS_05025,Fake Telecom Station 05025,22.359377,104.443631,Lào Cai,Lào Cai,mapped
BTS_05026,Fake Telecom Station 05026,21.609877,105.268552,Phú Thọ,Phú Thọ,mapped
BTS_05027,Fake Telecom Station 05027,22.597816,106.081498,Cao Bằng,Cao Bằng,mapped
BTS_05028,Fake Telecom Station 05028,16.492088,107.630757,Thừa Thiên Huế,Huế,mapped
BTS_05029,Fake Telecom Station 05029,12.185572,107.111435,Bình Phước,Đồng Nai,mapped
BTS_05030,Fake Telecom Station 05030,21.088227,104.71476,Sơn La,Sơn La,mapped
BTS_05031,Fake Telecom Station 05031,21.584968,107.810213,Quảng Ninh,Quảng Ninh,mapped
BTS_05032,Fake Telecom Station 05032,22.757623,104.960074,Hà Giang,Tuyên Quang,mapped
BTS_05033,Fake Telecom Station 05033,10.614209,105.860584,Đồng Tháp,Đồng Tháp,mapped
BTS_05034,Fake Telecom Station 05034,21.538736,103.489804,Điện Biên,Điện Biên,mapped
BTS_05035,Fake Telecom Station 05035,11.770711,108.438901,Lâm Đồng,Lâm Đồng,mapped
BTS_05036,Fake Telecom Station 05036,22.747424,104.152736,Lào Cai,Lào Cai,mapped
BTS_05037,Fake Telecom Station 05037,11.251527,106.254724,Tây Ninh,Tây Ninh,mapped
BTS_05038,Fake Telecom Station 05038,22.204026,104.426321,Lào Cai,Lào Cai,mapped
BTS_05039,Fake Telecom Station 05039,12.284968,108.149412,Đắk Lắk,Đắk Lắk,mapped
BTS_05040,Fake Telecom Station 05040,21.015933,106.153675,Hưng Yên,Hưng Yên,mapped
BTS_05041,Fake Telecom Station 05041,20.769881,104.725846,Sơn La,Sơn La,mapped
BTS_05042,Fake Telecom Station 05042,19.147655,104.966305,Nghệ An,Nghệ An,mapped
BTS_05043,Fake Telecom Station 05043,9.23082,104.855718,Cà Mau,Cà Mau,mapped
BTS_05044,Fake Telecom Station 05044,14.884854,108.497143,Quảng Ngãi,Quảng Ngãi,mapped
BTS_05045,Fake Telecom Station 05045,19.565422,104.324479,Nghệ An,Nghệ An,mapped
BTS_05046,Fake Telecom Station 05046,21.112169,105.240783,Phú Thọ,Phú Thọ,mapped
BTS_05047,Fake Telecom Station 05047,19.345323,104.859856,Nghệ An,Nghệ An,mapped
BTS_05048,Fake Telecom Station 05048,9.629776,106.307373,Trà Vinh,Vĩnh Long,mapped
BTS_05049,Fake Telecom Station 05049,16.582431,107.552491,Thừa Thiên Huế,Huế,mapped
