id,name,province,latitude,longitude
WS-Tuyen_Quang-00001,WS Tuyen_Quang 00001,Tuyên Quang,22.8132,104.9823
WS-Tuyen_Quang-00002,WS Tuyen_Quang 00002,Tuyên Quang,23.2743,105.3689
WS-Tuyen_Quang-00003,WS Tuyen_Quang 00003,Tuyên Quang,21.8551,105.1882
WS-Tuyen_Quang-00004,WS Tuyen_Quang 00004,Tuyên Quang,22.0574,105.0338
WS-Tuyen_Quang-00005,WS Tuyen_Quang 00005,Tuyên Quang,22.7462,104.6811
WS-Lao_Cai-00001,WS Lao_Cai 00001,Lào Cai,22.3362,103.8341
WS-Lao_Cai-00002,WS Lao_Cai 00002,Lào Cai,22.1135,104.7741
WS-Thai_Nguyen-00001,WS Thai_Nguyen 00001,Thái Nguyên,21.5932,105.8452
WS-Thai_Nguyen-00002,WS Thai_Nguyen 00002,Thái Nguyên,22.1453,105.8304
WS-Phu_Tho-00001,WS Phu_Tho 00001,Phú Thọ,20.8254,105.3387
WS-Phu_Tho-00002,WS Phu_Tho 00002,Phú Thọ,20.6654,105.0836
WS-Phu_Tho-00003,WS Phu_Tho 00003,Phú Thọ,20.6749,105.5336
WS-Phu_Tho-00004,WS Phu_Tho 00004,Phú Thọ,21.5978,105.0033
WS-Phu_Tho-00005,WS Phu_Tho 00005,Phú Thọ,21.4524,105.2463
WS-Bac_Ninh-00001,WS Bac_Ninh 00001,Bắc Ninh,21.4021,106.7788
WS-Hung_Yen-00001,WS Hung_Yen 00001,Hưng Yên,20.6662,106.0509
WS-Hung_Yen-00002,WS Hung_Yen 00002,Hưng Yên,20.4263,106.3748
WS-Hai_Phong-00001,WS Hai_Phong 00001,Hải Phòng,20.8329,106.6222
WS-Hai_Phong-00002,WS Hai_Phong 00002,Hải Phòng,20.7174,106.7897
WS-Hai_Phong-00003,WS Hai_Phong 00003,Hải Phòng,20.9715,106.2898
WS-Hai_Phong-00004,WS Hai_Phong 00004,Hải Phòng,20.1641,107.7225
WS-Ninh_Binh-00001,WS Ninh_Binh 00001,Ninh Bình,20.1356,106.2944
WS-Ninh_Binh-00002,WS Ninh_Binh 00002,Ninh Bình,20.2619,105.9896
