weather_station_id,weather_station_name,province,latitude,longitude,forecast_time_utc,forecast_time_vn,temperature_c,wind_speed_mps,precip_3h_mm
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-26T03:00:00+00:00,2026-06-26T10:00:00+07:00,25.66,7.93,0
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-26T06:00:00+00:00,2026-06-26T13:00:00+07:00,26.24,6.2,0.15
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-26T09:00:00+00:00,2026-06-26T16:00:00+07:00,25.55,4.93,26.27
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-26T12:00:00+00:00,2026-06-26T19:00:00+07:00,30.24,5.16,0.71
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-26T15:00:00+00:00,2026-06-26T22:00:00+07:00,25.4,4.74,0.01
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-26T18:00:00+00:00,2026-06-27T01:00:00+07:00,29.62,5.49,1.28
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-26T21:00:00+00:00,2026-06-27T04:00:00+07:00,25.28,5.6,0.35
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-27T00:00:00+00:00,2026-06-27T07:00:00+07:00,28.18,6.05,0.06
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-27T03:00:00+00:00,2026-06-27T10:00:00+07:00,28.73,2.48,0.13
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-27T06:00:00+00:00,2026-06-27T13:00:00+07:00,31.64,2.95,0.78
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-27T09:00:00+00:00,2026-06-27T16:00:00+07:00,32.47,2.99,1.64
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-27T12:00:00+00:00,2026-06-27T19:00:00+07:00,25.39,6.77,1.4
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-27T15:00:00+00:00,2026-06-27T22:00:00+07:00,24.78,6.27,0.91
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-27T18:00:00+00:00,2026-06-28T01:00:00+07:00,25.83,8.09,0.64
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-27T21:00:00+00:00,2026-06-28T04:00:00+07:00,26.84,3.49,0.17
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-28T00:00:00+00:00,2026-06-28T07:00:00+07:00,28.3,7.15,0.01
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-28T03:00:00+00:00,2026-06-28T10:00:00+07:00,25.75,3.97,0.9
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-28T06:00:00+00:00,2026-06-28T13:00:00+07:00,31.95,3.01,0.55
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-28T09:00:00+00:00,2026-06-28T16:00:00+07:00,25.38,6.44,0
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-28T12:00:00+00:00,2026-06-28T19:00:00+07:00,25.17,5.78,0.06
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-28T15:00:00+00:00,2026-06-28T22:00:00+07:00,26.79,4.28,0.57
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-28T18:00:00+00:00,2026-06-29T01:00:00+07:00,29.33,6.56,0
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-28T21:00:00+00:00,2026-06-29T04:00:00+07:00,26.24,6.58,1.62
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-29T00:00:00+00:00,2026-06-29T07:00:00+07:00,31.57,5.74,0.29
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-29T03:00:00+00:00,2026-06-29T10:00:00+07:00,24.49,2.69,1.0
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-29T06:00:00+00:00,2026-06-29T13:00:00+07:00,24.78,4.21,0.0
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-29T09:00:00+00:00,2026-06-29T16:00:00+07:00,27.36,9.27,0.12
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-29T12:00:00+00:00,2026-06-29T19:00:00+07:00,32.28,6.87,0
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-29T15:00:00+00:00,2026-06-29T22:00:00+07:00,27.14,6.48,1.53
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-29T18:00:00+00:00,2026-06-30T01:00:00+07:00,27.66,3.31,1.07
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-29T21:00:00+00:00,2026-06-30T04:00:00+07:00,25.14,6.28,0.15
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-30T00:00:00+00:00,2026-06-30T07:00:00+07:00,25.0,6.34,0
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-30T03:00:00+00:00,2026-06-30T10:00:00+07:00,25.09,6.44,0.36
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-30T06:00:00+00:00,2026-06-30T13:00:00+07:00,24.67,4.31,1.39
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-30T09:00:00+00:00,2026-06-30T16:00:00+07:00,26.73,4.09,0
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-30T12:00:00+00:00,2026-06-30T19:00:00+07:00,29.61,7.38,0.05
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-30T15:00:00+00:00,2026-06-30T22:00:00+07:00,29.2,3.95,0.05
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-30T18:00:00+00:00,2026-07-01T01:00:00+07:00,24.68,7.99,0.98
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-06-30T21:00:00+00:00,2026-07-01T04:00:00+07:00,31.8,7.99,0.05
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-07-01T00:00:00+00:00,2026-07-01T07:00:00+07:00,32.95,8.08,0.3
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-07-01T03:00:00+00:00,2026-07-01T10:00:00+07:00,25.48,4.63,0
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-07-01T06:00:00+00:00,2026-07-01T13:00:00+07:00,25.83,4.9,1.43
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-07-01T09:00:00+00:00,2026-07-01T16:00:00+07:00,27.54,3.25,0.01
WS_CaMau_02,Trạm Khí tượng Bạc Liêu,Cà Mau,9.296,105.7138,2026-07-01T12:00:00+00:00,2026-07-01T19:00:00+07:00,28.14,6.37,3.51
