weather_station_id,weather_station_name,province,latitude,longitude,forecast_time_utc,forecast_time_vn,temperature_c,wind_speed_mps,precip_3h_mm
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-26T03:00:00+00:00,2026-06-26T10:00:00+07:00,22.63,0.29,0.54
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-26T06:00:00+00:00,2026-06-26T13:00:00+07:00,22.56,0.33,0.3
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-26T09:00:00+00:00,2026-06-26T16:00:00+07:00,22.96,1.1,3.68
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-26T12:00:00+00:00,2026-06-26T19:00:00+07:00,22.05,0.93,2.79
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-26T15:00:00+00:00,2026-06-26T22:00:00+07:00,27.63,0.32,2.94
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-26T18:00:00+00:00,2026-06-27T01:00:00+07:00,23.39,0.61,2.12
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-26T21:00:00+00:00,2026-06-27T04:00:00+07:00,22.52,0.43,1.57
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-27T00:00:00+00:00,2026-06-27T07:00:00+07:00,25.36,0.89,1.29
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-27T03:00:00+00:00,2026-06-27T10:00:00+07:00,23.62,0.31,2.31
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-27T06:00:00+00:00,2026-06-27T13:00:00+07:00,22.63,1.08,0.7
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-27T09:00:00+00:00,2026-06-27T16:00:00+07:00,27.64,0.68,0.05
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-27T12:00:00+00:00,2026-06-27T19:00:00+07:00,23.27,0.51,3.17
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-27T15:00:00+00:00,2026-06-27T22:00:00+07:00,24.32,0.61,1.4
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-27T18:00:00+00:00,2026-06-28T01:00:00+07:00,23.67,1.61,4.67
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-27T21:00:00+00:00,2026-06-28T04:00:00+07:00,22.28,0.43,6.61
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-28T00:00:00+00:00,2026-06-28T07:00:00+07:00,26.78,0.7,3.79
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-28T03:00:00+00:00,2026-06-28T10:00:00+07:00,24.03,0.48,4.64
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-28T06:00:00+00:00,2026-06-28T13:00:00+07:00,22.94,0.33,1.18
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-28T09:00:00+00:00,2026-06-28T16:00:00+07:00,25.84,0.47,2.52
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-28T12:00:00+00:00,2026-06-28T19:00:00+07:00,27.18,1.34,1.08
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-28T15:00:00+00:00,2026-06-28T22:00:00+07:00,23.25,1.0,0.07
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-28T18:00:00+00:00,2026-06-29T01:00:00+07:00,22.56,1.19,0.42
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-28T21:00:00+00:00,2026-06-29T04:00:00+07:00,22.24,0.13,0.04
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-29T00:00:00+00:00,2026-06-29T07:00:00+07:00,23.57,1.06,0.78
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-29T03:00:00+00:00,2026-06-29T10:00:00+07:00,25.74,0.65,3.62
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-29T06:00:00+00:00,2026-06-29T13:00:00+07:00,22.92,0.48,3.23
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-29T09:00:00+00:00,2026-06-29T16:00:00+07:00,27.23,0.28,0.72
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-29T12:00:00+00:00,2026-06-29T19:00:00+07:00,23.45,1.1,1.63
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-29T15:00:00+00:00,2026-06-29T22:00:00+07:00,23.0,1.01,4.21
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-29T18:00:00+00:00,2026-06-30T01:00:00+07:00,23.43,0.18,3.64
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-29T21:00:00+00:00,2026-06-30T04:00:00+07:00,22.15,0.92,2.13
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-30T00:00:00+00:00,2026-06-30T07:00:00+07:00,22.34,0.4,0.16
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-30T03:00:00+00:00,2026-06-30T10:00:00+07:00,27.6,0.98,6.56
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-30T06:00:00+00:00,2026-06-30T13:00:00+07:00,23.24,1.01,4.46
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-30T09:00:00+00:00,2026-06-30T16:00:00+07:00,23.21,0.62,1.01
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-30T12:00:00+00:00,2026-06-30T19:00:00+07:00,25.92,0.4,2.23
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-30T15:00:00+00:00,2026-06-30T22:00:00+07:00,23.5,0.22,1.95
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-30T18:00:00+00:00,2026-07-01T01:00:00+07:00,26.25,0.56,5.6
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-06-30T21:00:00+00:00,2026-07-01T04:00:00+07:00,24.04,0.66,8.06
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-07-01T00:00:00+00:00,2026-07-01T07:00:00+07:00,26.2,0.57,0
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-07-01T03:00:00+00:00,2026-07-01T10:00:00+07:00,27.25,0.3,0.26
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-07-01T06:00:00+00:00,2026-07-01T13:00:00+07:00,22.18,0.42,1.77
WS_CaoBang_02,Trạm Khí tượng Thủy văn Tân Giang,Cao Bằng,22.6521,106.2709,2026-07-01T09:00:00+00:00,2026-07-01T16:00:00+07:00,22.02,0.45,4.21
