weather_station_id,weather_station_name,province,latitude,longitude,forecast_time_utc,forecast_time_vn,temperature_c,wind_speed_mps,precip_3h_mm
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-26T03:00:00+00:00,2026-06-26T10:00:00+07:00,30.36,1.04,5.23
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-26T06:00:00+00:00,2026-06-26T13:00:00+07:00,26.23,3.65,5.96
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-26T09:00:00+00:00,2026-06-26T16:00:00+07:00,31.93,1.61,0
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-26T12:00:00+00:00,2026-06-26T19:00:00+07:00,25.59,3.17,0.35
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-26T15:00:00+00:00,2026-06-26T22:00:00+07:00,30.11,3.26,0
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-26T18:00:00+00:00,2026-06-27T01:00:00+07:00,31.54,2.54,0.42
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-26T21:00:00+00:00,2026-06-27T04:00:00+07:00,29.61,2.07,0.01
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-27T00:00:00+00:00,2026-06-27T07:00:00+07:00,27.67,2.88,0.74
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-27T03:00:00+00:00,2026-06-27T10:00:00+07:00,26.91,4.24,0
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-27T06:00:00+00:00,2026-06-27T13:00:00+07:00,30.18,3.28,0.01
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-27T09:00:00+00:00,2026-06-27T16:00:00+07:00,25.98,3.96,0.93
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-27T12:00:00+00:00,2026-06-27T19:00:00+07:00,24.74,1.88,0.47
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-27T15:00:00+00:00,2026-06-27T22:00:00+07:00,25.19,3.84,0.03
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-27T18:00:00+00:00,2026-06-28T01:00:00+07:00,26.33,4.9,0.05
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-27T21:00:00+00:00,2026-06-28T04:00:00+07:00,29.34,6.46,0
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-28T00:00:00+00:00,2026-06-28T07:00:00+07:00,29.41,2.94,1.56
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-28T03:00:00+00:00,2026-06-28T10:00:00+07:00,29.82,4.81,0
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-28T06:00:00+00:00,2026-06-28T13:00:00+07:00,28.08,2.25,0
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-28T09:00:00+00:00,2026-06-28T16:00:00+07:00,27.81,1.73,0.08
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-28T12:00:00+00:00,2026-06-28T19:00:00+07:00,25.83,4.34,0.43
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-28T15:00:00+00:00,2026-06-28T22:00:00+07:00,24.74,3.45,0
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-28T18:00:00+00:00,2026-06-29T01:00:00+07:00,27.38,3.37,0.42
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-28T21:00:00+00:00,2026-06-29T04:00:00+07:00,29.95,4.08,0.07
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-29T00:00:00+00:00,2026-06-29T07:00:00+07:00,26.7,1.67,0
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-29T03:00:00+00:00,2026-06-29T10:00:00+07:00,25.89,0.67,0.02
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-29T06:00:00+00:00,2026-06-29T13:00:00+07:00,26.16,2.63,0.8
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-29T09:00:00+00:00,2026-06-29T16:00:00+07:00,26.63,0.82,0.88
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-29T12:00:00+00:00,2026-06-29T19:00:00+07:00,25.25,4.28,0.01
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-29T15:00:00+00:00,2026-06-29T22:00:00+07:00,30.44,3.36,9.86
WS_DaNang_01,Đài Khí tượng Thủy văn Trung Trung Bộ,Đà Nẵng,16.0428,108.2061,2026-06-29T18:00:00+00:00,2026-06-30T01:00:00+07:00,26.06,3.61,0
