weather_station_id,weather_station_name,province,latitude,longitude,forecast_time_utc,forecast_time_vn,temperature_c,wind_speed_mps,precip_3h_mm
WS_DienBien_02,Trạm Khí tượng Pha Đin,Điện Biên,21.5712,103.517,2026-06-26T03:00:00+00:00,2026-06-26T10:00:00+07:00,21.32,0.54,2.27
WS_DienBien_02,Trạm Khí tượng Pha Đin,Điện Biên,21.5712,103.517,2026-06-26T06:00:00+00:00,2026-06-26T13:00:00+07:00,20.59,0.25,4.72
WS_DienBien_02,Trạm Khí tượng Pha Đin,Điện Biên,21.5712,103.517,2026-06-26T09:00:00+00:00,2026-06-26T16:00:00+07:00,21.64,0.62,2.88
WS_DienBien_02,Trạm Khí tượng Pha Đin,Điện Biên,21.5712,103.517,2026-06-26T12:00:00+00:00,2026-06-26T19:00:00+07:00,23.02,1.21,2.24
WS_DienBien_02,Trạm Khí tượng Pha Đin,Điện Biên,21.5712,103.517,2026-06-26T15:00:00+00:00,2026-06-26T22:00:00+07:00,21.43,0.25,3.62
WS_DienBien_02,Trạm Khí tượng Pha Đin,Điện Biên,21.5712,103.517,2026-06-26T18:00:00+00:00,2026-06-27T01:00:00+07:00,26.92,0.97,0.21
WS_DienBien_02,Trạm Khí tượng Pha Đin,Điện Biên,21.5712,103.517,2026-06-26T21:00:00+00:00,2026-06-27T04:00:00+07:00,21.02,0.72,0.3
WS_DienBien_02,Trạm Khí tượng Pha Đin,Điện Biên,21.5712,103.517,2026-06-27T00:00:00+00:00,2026-06-27T07:00:00+07:00,20.57,1.03,1.17
WS_DienBien_02,Trạm Khí tượng Pha Đin,Điện Biên,21.5712,103.517,2026-06-27T03:00:00+00:00,2026-06-27T10:00:00+07:00,21.43,0.26,3.59
WS_DienBien_02,Trạm Khí tượng Pha Đin,Điện Biên,21.5712,103.517,2026-06-27T06:00:00+00:00,2026-06-27T13:00:00+07:00,24.51,0.64,3.31
WS_DienBien_02,Trạm Khí tượng Pha Đin,Điện Biên,21.5712,103.517,2026-06-27T09:00:00+00:00,2026-06-27T16:00:00+07:00,20.52,0.38,2.68
WS_DienBien_02,Trạm Khí tượng Pha Đin,Điện Biên,21.5712,103.517,2026-06-27T12:00:00+00:00,2026-06-27T19:00:00+07:00,19.95,0.13,1.1
WS_DienBien_02,Trạm Khí tượng Pha Đin,Điện Biên,21.5712,103.517,2026-06-27T15:00:00+00:00,2026-06-27T22:00:00+07:00,20.05,0.97,1.47
WS_DienBien_02,Trạm Khí tượng Pha Đin,Điện Biên,21.5712,103.517,2026-06-27T18:00:00+00:00,2026-06-28T01:00:00+07:00,20.7,0.99,0.09
WS_DienBien_02,Trạm Khí tượng Pha Đin,Điện Biên,21.5712,103.517,2026-06-27T21:00:00+00:00,2026-06-28T04:00:00+07:00,22.37,0.36,2.3
WS_DienBien_02,Trạm Khí tượng Pha Đin,Điện Biên,21.5712,103.517,2026-06-28T00:00:00+00:00,2026-06-28T07:00:00+07:00,22.01,0.31,1.04
WS_DienBien_02,Trạm Khí tượng Pha Đin,Điện Biên,21.5712,103.517,2026-06-28T03:00:00+00:00,2026-06-28T10:00:00+07:00,25.99,0.52,4.03
WS_DienBien_02,Trạm Khí tượng Pha Đin,Điện Biên,21.5712,103.517,2026-06-28T06:00:00+00:00,2026-06-28T13:00:00+07:00,21.11,0.84,0.44
WS_DienBien_02,Trạm Khí tượng Pha Đin,Điện Biên,21.5712,103.517,2026-06-28T09:00:00+00:00,2026-06-28T16:00:00+07:00,20.87,0.41,0.84
