weather_station_id,weather_station_name,province,latitude,longitude,forecast_time_utc,forecast_time_vn,temperature_c,wind_speed_mps,precip_3h_mm
WS_DongNai_03,Trạm Khí tượng Tà Lài,Đồng Nai,11.3737,107.3688,2026-06-26T03:00:00+00:00,2026-06-26T10:00:00+07:00,23.56,0.74,3.39
WS_DongNai_03,Trạm Khí tượng Tà Lài,Đồng Nai,11.3737,107.3688,2026-06-26T06:00:00+00:00,2026-06-26T13:00:00+07:00,23.37,1.91,0.11
WS_DongNai_03,Trạm Khí tượng Tà Lài,Đồng Nai,11.3737,107.3688,2026-06-26T09:00:00+00:00,2026-06-26T16:00:00+07:00,25.79,1.89,0.26
WS_DongNai_03,Trạm Khí tượng Tà Lài,Đồng Nai,11.3737,107.3688,2026-06-26T12:00:00+00:00,2026-06-26T19:00:00+07:00,21.81,1.68,5.32
WS_DongNai_03,Trạm Khí tượng Tà Lài,Đồng Nai,11.3737,107.3688,2026-06-26T15:00:00+00:00,2026-06-26T22:00:00+07:00,28.76,0.2,1.38
WS_DongNai_03,Trạm Khí tượng Tà Lài,Đồng Nai,11.3737,107.3688,2026-06-26T18:00:00+00:00,2026-06-27T01:00:00+07:00,29.81,1.98,8.24
WS_DongNai_03,Trạm Khí tượng Tà Lài,Đồng Nai,11.3737,107.3688,2026-06-26T21:00:00+00:00,2026-06-27T04:00:00+07:00,27.94,0.51,0.48
WS_DongNai_03,Trạm Khí tượng Tà Lài,Đồng Nai,11.3737,107.3688,2026-06-27T00:00:00+00:00,2026-06-27T07:00:00+07:00,23.74,0.85,1.97
WS_DongNai_03,Trạm Khí tượng Tà Lài,Đồng Nai,11.3737,107.3688,2026-06-27T03:00:00+00:00,2026-06-27T10:00:00+07:00,22.98,0.54,3.29
WS_DongNai_03,Trạm Khí tượng Tà Lài,Đồng Nai,11.3737,107.3688,2026-06-27T06:00:00+00:00,2026-06-27T13:00:00+07:00,24.83,1.45,0.48
WS_DongNai_03,Trạm Khí tượng Tà Lài,Đồng Nai,11.3737,107.3688,2026-06-27T09:00:00+00:00,2026-06-27T16:00:00+07:00,26.55,1.28,3.52
