weather_station_id,weather_station_name,province,latitude,longitude,forecast_time_utc,forecast_time_vn,temperature_c,wind_speed_mps,precip_3h_mm
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-26T03:00:00+00:00,2026-06-26T10:00:00+07:00,24.52,4.5,1.14
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-26T06:00:00+00:00,2026-06-26T13:00:00+07:00,25.55,2.38,0.04
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-26T09:00:00+00:00,2026-06-26T16:00:00+07:00,24.32,3.09,0.08
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-26T12:00:00+00:00,2026-06-26T19:00:00+07:00,25.65,3.83,0.17
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-26T15:00:00+00:00,2026-06-26T22:00:00+07:00,25.39,5.19,0.33
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-26T18:00:00+00:00,2026-06-27T01:00:00+07:00,26.72,3.11,0.47
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-26T21:00:00+00:00,2026-06-27T04:00:00+07:00,24.41,2.26,1.23
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-27T00:00:00+00:00,2026-06-27T07:00:00+07:00,23.9,5.14,0.64
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-27T03:00:00+00:00,2026-06-27T10:00:00+07:00,23.39,2.0,2.48
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-27T06:00:00+00:00,2026-06-27T13:00:00+07:00,24.99,5.2,0.13
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-27T09:00:00+00:00,2026-06-27T16:00:00+07:00,25.52,4.12,1.12
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-27T12:00:00+00:00,2026-06-27T19:00:00+07:00,24.3,4.22,0
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-27T15:00:00+00:00,2026-06-27T22:00:00+07:00,23.96,4.64,0
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-27T18:00:00+00:00,2026-06-28T01:00:00+07:00,33.44,2.79,0.04
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-27T21:00:00+00:00,2026-06-28T04:00:00+07:00,23.44,2.17,0.01
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-28T00:00:00+00:00,2026-06-28T07:00:00+07:00,27.37,5.69,0.08
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-28T03:00:00+00:00,2026-06-28T10:00:00+07:00,32.94,3.35,0.33
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-28T06:00:00+00:00,2026-06-28T13:00:00+07:00,28.99,5.08,1.67
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-28T09:00:00+00:00,2026-06-28T16:00:00+07:00,22.96,2.83,1.21
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-28T12:00:00+00:00,2026-06-28T19:00:00+07:00,24.8,4.09,0.24
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-28T15:00:00+00:00,2026-06-28T22:00:00+07:00,26.3,3.26,0.35
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-28T18:00:00+00:00,2026-06-29T01:00:00+07:00,34.03,4.74,0.09
WS_DongThap_03,Trạm Khí tượng Mỹ Tho,Đồng Tháp,10.3531,106.3976,2026-06-28T21:00:00+00:00,2026-06-29T04:00:00+07:00,22.87,2.35,0.23
