weather_station_id,weather_station_name,province,latitude,longitude,forecast_time_utc,forecast_time_vn,temperature_c,wind_speed_mps,precip_3h_mm
WS_HungYen_01,Đài Khí tượng Thủy văn tỉnh Hưng Yên,Hưng Yên,20.6662,106.0509,2026-06-26T03:00:00+00:00,2026-06-26T10:00:00+07:00,28.52,2.09,0.09
WS_HungYen_01,Đài Khí tượng Thủy văn tỉnh Hưng Yên,Hưng Yên,20.6662,106.0509,2026-06-26T06:00:00+00:00,2026-06-26T13:00:00+07:00,26.61,4.28,2.54
WS_HungYen_01,Đài Khí tượng Thủy văn tỉnh Hưng Yên,Hưng Yên,20.6662,106.0509,2026-06-26T09:00:00+00:00,2026-06-26T16:00:00+07:00,28.54,1.47,0.06
WS_HungYen_01,Đài Khí tượng Thủy văn tỉnh Hưng Yên,Hưng Yên,20.6662,106.0509,2026-06-26T12:00:00+00:00,2026-06-26T19:00:00+07:00,32.6,3.3,0.14
WS_HungYen_01,Đài Khí tượng Thủy văn tỉnh Hưng Yên,Hưng Yên,20.6662,106.0509,2026-06-26T15:00:00+00:00,2026-06-26T22:00:00+07:00,36.05,3.13,1.3
WS_HungYen_01,Đài Khí tượng Thủy văn tỉnh Hưng Yên,Hưng Yên,20.6662,106.0509,2026-06-26T18:00:00+00:00,2026-06-27T01:00:00+07:00,27.66,1.33,0.25
WS_HungYen_01,Đài Khí tượng Thủy văn tỉnh Hưng Yên,Hưng Yên,20.6662,106.0509,2026-06-26T21:00:00+00:00,2026-06-27T04:00:00+07:00,26.28,1.53,2.88
WS_HungYen_01,Đài Khí tượng Thủy văn tỉnh Hưng Yên,Hưng Yên,20.6662,106.0509,2026-06-27T00:00:00+00:00,2026-06-27T07:00:00+07:00,31.3,2.12,0
WS_HungYen_01,Đài Khí tượng Thủy văn tỉnh Hưng Yên,Hưng Yên,20.6662,106.0509,2026-06-27T03:00:00+00:00,2026-06-27T10:00:00+07:00,26.07,2.3,4.21
WS_HungYen_01,Đài Khí tượng Thủy văn tỉnh Hưng Yên,Hưng Yên,20.6662,106.0509,2026-06-27T06:00:00+00:00,2026-06-27T13:00:00+07:00,29.07,3.2,0
WS_HungYen_01,Đài Khí tượng Thủy văn tỉnh Hưng Yên,Hưng Yên,20.6662,106.0509,2026-06-27T09:00:00+00:00,2026-06-27T16:00:00+07:00,31.33,2.09,1.96
WS_HungYen_01,Đài Khí tượng Thủy văn tỉnh Hưng Yên,Hưng Yên,20.6662,106.0509,2026-06-27T12:00:00+00:00,2026-06-27T19:00:00+07:00,30.93,1.38,3.62
WS_HungYen_01,Đài Khí tượng Thủy văn tỉnh Hưng Yên,Hưng Yên,20.6662,106.0509,2026-06-27T15:00:00+00:00,2026-06-27T22:00:00+07:00,26.46,1.49,0.14
WS_HungYen_01,Đài Khí tượng Thủy văn tỉnh Hưng Yên,Hưng Yên,20.6662,106.0509,2026-06-27T18:00:00+00:00,2026-06-28T01:00:00+07:00,23.84,2.33,13.94
WS_HungYen_01,Đài Khí tượng Thủy văn tỉnh Hưng Yên,Hưng Yên,20.6662,106.0509,2026-06-27T21:00:00+00:00,2026-06-28T04:00:00+07:00,26.73,1.44,0.03
WS_HungYen_01,Đài Khí tượng Thủy văn tỉnh Hưng Yên,Hưng Yên,20.6662,106.0509,2026-06-28T00:00:00+00:00,2026-06-28T07:00:00+07:00,32.11,1.15,1.58
WS_HungYen_01,Đài Khí tượng Thủy văn tỉnh Hưng Yên,Hưng Yên,20.6662,106.0509,2026-06-28T03:00:00+00:00,2026-06-28T10:00:00+07:00,26.57,3.08,7.13
WS_HungYen_01,Đài Khí tượng Thủy văn tỉnh Hưng Yên,Hưng Yên,20.6662,106.0509,2026-06-28T06:00:00+00:00,2026-06-28T13:00:00+07:00,27.13,1.96,2.05
WS_HungYen_01,Đài Khí tượng Thủy văn tỉnh Hưng Yên,Hưng Yên,20.6662,106.0509,2026-06-28T09:00:00+00:00,2026-06-28T16:00:00+07:00,32.89,1.57,2.01
WS_HungYen_01,Đài Khí tượng Thủy văn tỉnh Hưng Yên,Hưng Yên,20.6662,106.0509,2026-06-28T12:00:00+00:00,2026-06-28T19:00:00+07:00,28.93,2.28,0
