weather_station_id,weather_station_name,province,latitude,longitude,forecast_time_utc,forecast_time_vn,temperature_c,wind_speed_mps,precip_3h_mm
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-26T03:00:00+00:00,2026-06-26T10:00:00+07:00,19.25,1.38,2.85
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-26T06:00:00+00:00,2026-06-26T13:00:00+07:00,20.04,0.25,0.59
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-26T09:00:00+00:00,2026-06-26T16:00:00+07:00,20.67,0.69,0
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-26T12:00:00+00:00,2026-06-26T19:00:00+07:00,19.46,0.59,2.06
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-26T15:00:00+00:00,2026-06-26T22:00:00+07:00,26.35,0.87,0.5
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-26T18:00:00+00:00,2026-06-27T01:00:00+07:00,19.09,0.35,2.25
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-26T21:00:00+00:00,2026-06-27T04:00:00+07:00,20.4,0.45,3.92
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-27T00:00:00+00:00,2026-06-27T07:00:00+07:00,22.84,0.18,1.28
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-27T03:00:00+00:00,2026-06-27T10:00:00+07:00,23.49,0.75,2.48
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-27T06:00:00+00:00,2026-06-27T13:00:00+07:00,20.29,0.34,8.16
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-27T09:00:00+00:00,2026-06-27T16:00:00+07:00,20.65,0.65,0.03
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-27T12:00:00+00:00,2026-06-27T19:00:00+07:00,19.64,0.81,1.84
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-27T15:00:00+00:00,2026-06-27T22:00:00+07:00,20.34,1.34,0.85
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-27T18:00:00+00:00,2026-06-28T01:00:00+07:00,21.33,0.38,1.11
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-27T21:00:00+00:00,2026-06-28T04:00:00+07:00,19.3,0.54,0.6
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-28T00:00:00+00:00,2026-06-28T07:00:00+07:00,19.79,1.32,2.52
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-28T03:00:00+00:00,2026-06-28T10:00:00+07:00,24.96,0.51,1.33
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-28T06:00:00+00:00,2026-06-28T13:00:00+07:00,20.47,0.65,4.39
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-28T09:00:00+00:00,2026-06-28T16:00:00+07:00,19.96,0.25,0
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-28T12:00:00+00:00,2026-06-28T19:00:00+07:00,20.83,1.02,0.1
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-28T15:00:00+00:00,2026-06-28T22:00:00+07:00,21.11,0.93,0.22
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-28T18:00:00+00:00,2026-06-29T01:00:00+07:00,20.39,0.64,2.15
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-28T21:00:00+00:00,2026-06-29T04:00:00+07:00,20.11,0.98,2.85
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-29T00:00:00+00:00,2026-06-29T07:00:00+07:00,21.82,0.54,1.87
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-29T03:00:00+00:00,2026-06-29T10:00:00+07:00,19.26,0.44,0.02
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-29T06:00:00+00:00,2026-06-29T13:00:00+07:00,20.11,0.32,0.36
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-29T09:00:00+00:00,2026-06-29T16:00:00+07:00,19.63,0.75,0.27
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-29T12:00:00+00:00,2026-06-29T19:00:00+07:00,19.62,0.55,0.51
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-29T15:00:00+00:00,2026-06-29T22:00:00+07:00,19.79,0.63,0.52
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-29T18:00:00+00:00,2026-06-30T01:00:00+07:00,21.93,1.02,1.69
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-29T21:00:00+00:00,2026-06-30T04:00:00+07:00,19.84,0.6,0.88
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-30T00:00:00+00:00,2026-06-30T07:00:00+07:00,22.96,0.08,0.03
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-30T03:00:00+00:00,2026-06-30T10:00:00+07:00,19.37,0.62,4.92
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-30T06:00:00+00:00,2026-06-30T13:00:00+07:00,20.15,1.22,0.89
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-30T09:00:00+00:00,2026-06-30T16:00:00+07:00,20.97,1.34,2.27
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-30T12:00:00+00:00,2026-06-30T19:00:00+07:00,19.6,0.2,0.49
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-30T15:00:00+00:00,2026-06-30T22:00:00+07:00,23.71,0.55,1.82
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-30T18:00:00+00:00,2026-07-01T01:00:00+07:00,19.96,0.58,0.56
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-06-30T21:00:00+00:00,2026-07-01T04:00:00+07:00,19.29,0.34,3.63
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-07-01T00:00:00+00:00,2026-07-01T07:00:00+07:00,23.23,0.83,0.61
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-07-01T03:00:00+00:00,2026-07-01T10:00:00+07:00,23.21,1.03,0.22
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-07-01T06:00:00+00:00,2026-07-01T13:00:00+07:00,19.85,1.28,1.07
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-07-01T09:00:00+00:00,2026-07-01T16:00:00+07:00,20.7,1.19,0.14
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-07-01T12:00:00+00:00,2026-07-01T19:00:00+07:00,19.8,1.12,0.84
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-07-01T15:00:00+00:00,2026-07-01T22:00:00+07:00,20.0,0.73,1.52
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-07-01T18:00:00+00:00,2026-07-02T01:00:00+07:00,18.92,0.75,1.83
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-07-01T21:00:00+00:00,2026-07-02T04:00:00+07:00,22.93,0.65,1.62
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-07-02T00:00:00+00:00,2026-07-02T07:00:00+07:00,19.07,1.52,1.38
WS_LaiChau_02,Trạm Khí tượng Tam Đường,Lai Châu,22.3989,103.4623,2026-07-02T03:00:00+00:00,2026-07-02T10:00:00+07:00,19.48,0.23,4.06
