weather_station_id,weather_station_name,province,latitude,longitude,forecast_time_utc,forecast_time_vn,temperature_c,wind_speed_mps,precip_3h_mm
WS_LangSon_01,Trạm Khí tượng Lạng Sơn,Lạng Sơn,21.8303,106.7686,2026-06-26T03:00:00+00:00,2026-06-26T10:00:00+07:00,23.14,1.81,0.16
WS_LangSon_01,Trạm Khí tượng Lạng Sơn,Lạng Sơn,21.8303,106.7686,2026-06-26T06:00:00+00:00,2026-06-26T13:00:00+07:00,25.57,0.54,0.08
WS_LangSon_01,Trạm Khí tượng Lạng Sơn,Lạng Sơn,21.8303,106.7686,2026-06-26T09:00:00+00:00,2026-06-26T16:00:00+07:00,28.64,1.09,0.63
WS_LangSon_01,Trạm Khí tượng Lạng Sơn,Lạng Sơn,21.8303,106.7686,2026-06-26T12:00:00+00:00,2026-06-26T19:00:00+07:00,23.94,1.0,0
WS_LangSon_01,Trạm Khí tượng Lạng Sơn,Lạng Sơn,21.8303,106.7686,2026-06-26T15:00:00+00:00,2026-06-26T22:00:00+07:00,31.08,1.75,4.66
WS_LangSon_01,Trạm Khí tượng Lạng Sơn,Lạng Sơn,21.8303,106.7686,2026-06-26T18:00:00+00:00,2026-06-27T01:00:00+07:00,28.56,0.43,0.96
WS_LangSon_01,Trạm Khí tượng Lạng Sơn,Lạng Sơn,21.8303,106.7686,2026-06-26T21:00:00+00:00,2026-06-27T04:00:00+07:00,25.31,1.17,0.0
WS_LangSon_01,Trạm Khí tượng Lạng Sơn,Lạng Sơn,21.8303,106.7686,2026-06-27T00:00:00+00:00,2026-06-27T07:00:00+07:00,25.76,0.91,0.01
WS_LangSon_01,Trạm Khí tượng Lạng Sơn,Lạng Sơn,21.8303,106.7686,2026-06-27T03:00:00+00:00,2026-06-27T10:00:00+07:00,25.65,1.0,0.35
WS_LangSon_01,Trạm Khí tượng Lạng Sơn,Lạng Sơn,21.8303,106.7686,2026-06-27T06:00:00+00:00,2026-06-27T13:00:00+07:00,30.1,1.37,0
WS_LangSon_01,Trạm Khí tượng Lạng Sơn,Lạng Sơn,21.8303,106.7686,2026-06-27T09:00:00+00:00,2026-06-27T16:00:00+07:00,24.38,0.68,0.3
WS_LangSon_01,Trạm Khí tượng Lạng Sơn,Lạng Sơn,21.8303,106.7686,2026-06-27T12:00:00+00:00,2026-06-27T19:00:00+07:00,29.32,1.21,0.02
WS_LangSon_01,Trạm Khí tượng Lạng Sơn,Lạng Sơn,21.8303,106.7686,2026-06-27T15:00:00+00:00,2026-06-27T22:00:00+07:00,26.54,1.8,0.81
WS_LangSon_01,Trạm Khí tượng Lạng Sơn,Lạng Sơn,21.8303,106.7686,2026-06-27T18:00:00+00:00,2026-06-28T01:00:00+07:00,26.36,1.68,1.23
WS_LangSon_01,Trạm Khí tượng Lạng Sơn,Lạng Sơn,21.8303,106.7686,2026-06-27T21:00:00+00:00,2026-06-28T04:00:00+07:00,23.9,2.5,0.04
WS_LangSon_01,Trạm Khí tượng Lạng Sơn,Lạng Sơn,21.8303,106.7686,2026-06-28T00:00:00+00:00,2026-06-28T07:00:00+07:00,26.83,2.43,2.22
