weather_station_id,weather_station_name,province,latitude,longitude,forecast_time_utc,forecast_time_vn,temperature_c,wind_speed_mps,precip_3h_mm
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-26T03:00:00+00:00,2026-06-26T10:00:00+07:00,32.45,0.63,1.43
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-26T06:00:00+00:00,2026-06-26T13:00:00+07:00,24.33,1.05,0.04
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-26T09:00:00+00:00,2026-06-26T16:00:00+07:00,25.18,0.84,0.5
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-26T12:00:00+00:00,2026-06-26T19:00:00+07:00,25.97,0.65,0
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-26T15:00:00+00:00,2026-06-26T22:00:00+07:00,25.96,1.45,6.32
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-26T18:00:00+00:00,2026-06-27T01:00:00+07:00,25.14,0.43,0.01
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-26T21:00:00+00:00,2026-06-27T04:00:00+07:00,25.44,1.03,0.01
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-27T00:00:00+00:00,2026-06-27T07:00:00+07:00,30.31,1.14,3.24
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-27T03:00:00+00:00,2026-06-27T10:00:00+07:00,24.95,0.35,0.74
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-27T06:00:00+00:00,2026-06-27T13:00:00+07:00,28.41,1.23,0.22
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-27T09:00:00+00:00,2026-06-27T16:00:00+07:00,25.06,1.42,4.16
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-27T12:00:00+00:00,2026-06-27T19:00:00+07:00,22.86,0.56,5.19
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-27T15:00:00+00:00,2026-06-27T22:00:00+07:00,29.18,0.16,0.36
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-27T18:00:00+00:00,2026-06-28T01:00:00+07:00,23.3,1.41,4.06
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-27T21:00:00+00:00,2026-06-28T04:00:00+07:00,27.29,0.15,0.93
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-28T00:00:00+00:00,2026-06-28T07:00:00+07:00,32.21,1.01,1.01
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-28T03:00:00+00:00,2026-06-28T10:00:00+07:00,23.84,1.89,7.35
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-28T06:00:00+00:00,2026-06-28T13:00:00+07:00,30.52,0.63,4.03
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-28T09:00:00+00:00,2026-06-28T16:00:00+07:00,26.82,0.51,5.44
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-28T12:00:00+00:00,2026-06-28T19:00:00+07:00,24.86,0.33,0.53
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-28T15:00:00+00:00,2026-06-28T22:00:00+07:00,24.93,1.66,3.13
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-28T18:00:00+00:00,2026-06-29T01:00:00+07:00,25.0,0.89,5.53
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-28T21:00:00+00:00,2026-06-29T04:00:00+07:00,27.53,1.1,2.92
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-29T00:00:00+00:00,2026-06-29T07:00:00+07:00,28.83,1.12,0
WS_PhuTho_01,Trạm Khí tượng Hòa Bình,Phú Thọ,20.8254,105.3387,2026-06-29T03:00:00+00:00,2026-06-29T10:00:00+07:00,27.75,1.09,3.96
