weather_station_id,weather_station_name,province,latitude,longitude,forecast_time_utc,forecast_time_vn,temperature_c,wind_speed_mps,precip_3h_mm
WS_QuangNgai_01,Đài Khí tượng Thủy văn tỉnh Quảng Ngãi,Quảng Ngãi,15.1202,108.7918,2026-06-26T03:00:00+00:00,2026-06-26T10:00:00+07:00,33.69,1.86,1.19
WS_QuangNgai_01,Đài Khí tượng Thủy văn tỉnh Quảng Ngãi,Quảng Ngãi,15.1202,108.7918,2026-06-26T06:00:00+00:00,2026-06-26T13:00:00+07:00,25.17,1.27,0
WS_QuangNgai_01,Đài Khí tượng Thủy văn tỉnh Quảng Ngãi,Quảng Ngãi,15.1202,108.7918,2026-06-26T09:00:00+00:00,2026-06-26T16:00:00+07:00,24.06,1.7,0
WS_QuangNgai_01,Đài Khí tượng Thủy văn tỉnh Quảng Ngãi,Quảng Ngãi,15.1202,108.7918,2026-06-26T12:00:00+00:00,2026-06-26T19:00:00+07:00,25.99,3.46,0
WS_QuangNgai_01,Đài Khí tượng Thủy văn tỉnh Quảng Ngãi,Quảng Ngãi,15.1202,108.7918,2026-06-26T15:00:00+00:00,2026-06-26T22:00:00+07:00,25.44,1.68,0
WS_QuangNgai_01,Đài Khí tượng Thủy văn tỉnh Quảng Ngãi,Quảng Ngãi,15.1202,108.7918,2026-06-26T18:00:00+00:00,2026-06-27T01:00:00+07:00,27.01,1.91,0.7
WS_QuangNgai_01,Đài Khí tượng Thủy văn tỉnh Quảng Ngãi,Quảng Ngãi,15.1202,108.7918,2026-06-26T21:00:00+00:00,2026-06-27T04:00:00+07:00,24.06,4.48,0
WS_QuangNgai_01,Đài Khí tượng Thủy văn tỉnh Quảng Ngãi,Quảng Ngãi,15.1202,108.7918,2026-06-27T00:00:00+00:00,2026-06-27T07:00:00+07:00,31.56,4.93,0
WS_QuangNgai_01,Đài Khí tượng Thủy văn tỉnh Quảng Ngãi,Quảng Ngãi,15.1202,108.7918,2026-06-27T03:00:00+00:00,2026-06-27T10:00:00+07:00,28.12,2.92,0.02
WS_QuangNgai_01,Đài Khí tượng Thủy văn tỉnh Quảng Ngãi,Quảng Ngãi,15.1202,108.7918,2026-06-27T06:00:00+00:00,2026-06-27T13:00:00+07:00,23.42,3.0,0
WS_QuangNgai_01,Đài Khí tượng Thủy văn tỉnh Quảng Ngãi,Quảng Ngãi,15.1202,108.7918,2026-06-27T09:00:00+00:00,2026-06-27T16:00:00+07:00,37.04,1.68,2.9
WS_QuangNgai_01,Đài Khí tượng Thủy văn tỉnh Quảng Ngãi,Quảng Ngãi,15.1202,108.7918,2026-06-27T12:00:00+00:00,2026-06-27T19:00:00+07:00,24.34,3.5,2.12
WS_QuangNgai_01,Đài Khí tượng Thủy văn tỉnh Quảng Ngãi,Quảng Ngãi,15.1202,108.7918,2026-06-27T15:00:00+00:00,2026-06-27T22:00:00+07:00,32.51,2.41,5.39
WS_QuangNgai_01,Đài Khí tượng Thủy văn tỉnh Quảng Ngãi,Quảng Ngãi,15.1202,108.7918,2026-06-27T18:00:00+00:00,2026-06-28T01:00:00+07:00,34.91,0.8,0.18
WS_QuangNgai_01,Đài Khí tượng Thủy văn tỉnh Quảng Ngãi,Quảng Ngãi,15.1202,108.7918,2026-06-27T21:00:00+00:00,2026-06-28T04:00:00+07:00,26.58,5.5,0.27
WS_QuangNgai_01,Đài Khí tượng Thủy văn tỉnh Quảng Ngãi,Quảng Ngãi,15.1202,108.7918,2026-06-28T00:00:00+00:00,2026-06-28T07:00:00+07:00,24.78,2.17,0
WS_QuangNgai_01,Đài Khí tượng Thủy văn tỉnh Quảng Ngãi,Quảng Ngãi,15.1202,108.7918,2026-06-28T03:00:00+00:00,2026-06-28T10:00:00+07:00,24.63,2.75,1.54
WS_QuangNgai_01,Đài Khí tượng Thủy văn tỉnh Quảng Ngãi,Quảng Ngãi,15.1202,108.7918,2026-06-28T06:00:00+00:00,2026-06-28T13:00:00+07:00,24.47,1.96,0
WS_QuangNgai_01,Đài Khí tượng Thủy văn tỉnh Quảng Ngãi,Quảng Ngãi,15.1202,108.7918,2026-06-28T09:00:00+00:00,2026-06-28T16:00:00+07:00,27.03,2.42,1.29
WS_QuangNgai_01,Đài Khí tượng Thủy văn tỉnh Quảng Ngãi,Quảng Ngãi,15.1202,108.7918,2026-06-28T12:00:00+00:00,2026-06-28T19:00:00+07:00,33.21,1.99,0.0
