weather_station_id,weather_station_name,province,latitude,longitude,forecast_time_utc,forecast_time_vn,temperature_c,wind_speed_mps,precip_3h_mm
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-26T03:00:00+00:00,2026-06-26T10:00:00+07:00,26.4,1.52,1.63
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-26T06:00:00+00:00,2026-06-26T13:00:00+07:00,36.26,3.28,0.0
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-26T09:00:00+00:00,2026-06-26T16:00:00+07:00,36.24,3.13,0.03
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-26T12:00:00+00:00,2026-06-26T19:00:00+07:00,29.41,2.98,0.16
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-26T15:00:00+00:00,2026-06-26T22:00:00+07:00,33.82,5.53,0
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-26T18:00:00+00:00,2026-06-27T01:00:00+07:00,24.39,5.09,0.29
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-26T21:00:00+00:00,2026-06-27T04:00:00+07:00,30.04,2.11,0.0
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-27T00:00:00+00:00,2026-06-27T07:00:00+07:00,25.94,3.56,0.52
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-27T03:00:00+00:00,2026-06-27T10:00:00+07:00,29.69,3.92,0
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-27T06:00:00+00:00,2026-06-27T13:00:00+07:00,26.02,4.81,0.36
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-27T09:00:00+00:00,2026-06-27T16:00:00+07:00,27.57,2.25,0
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-27T12:00:00+00:00,2026-06-27T19:00:00+07:00,30.81,1.95,0
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-27T15:00:00+00:00,2026-06-27T22:00:00+07:00,32.72,1.66,0
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-27T18:00:00+00:00,2026-06-28T01:00:00+07:00,26.09,2.72,0
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-27T21:00:00+00:00,2026-06-28T04:00:00+07:00,24.55,5.55,0.53
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-28T00:00:00+00:00,2026-06-28T07:00:00+07:00,28.59,5.43,0
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-28T03:00:00+00:00,2026-06-28T10:00:00+07:00,27.75,2.88,0
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-28T06:00:00+00:00,2026-06-28T13:00:00+07:00,27.39,3.05,0.96
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-28T09:00:00+00:00,2026-06-28T16:00:00+07:00,31.87,1.98,0.02
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-28T12:00:00+00:00,2026-06-28T19:00:00+07:00,25.94,3.05,0.0
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-28T15:00:00+00:00,2026-06-28T22:00:00+07:00,37.75,1.88,0
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-28T18:00:00+00:00,2026-06-29T01:00:00+07:00,31.78,6.71,0.17
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-28T21:00:00+00:00,2026-06-29T04:00:00+07:00,26.26,4.6,0
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-29T00:00:00+00:00,2026-06-29T07:00:00+07:00,27.08,3.7,0
WS_QuangTri_01,Đài Khí tượng Thủy văn tỉnh Quảng Trị,Quảng Trị,16.8028,107.0919,2026-06-29T03:00:00+00:00,2026-06-29T10:00:00+07:00,30.58,2.79,0.05
