weather_station_id,weather_station_name,province,latitude,longitude,forecast_time_utc,forecast_time_vn,temperature_c,wind_speed_mps,precip_3h_mm
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-26T03:00:00+00:00,2026-06-26T10:00:00+07:00,27.1,2.9,5.09
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-26T06:00:00+00:00,2026-06-26T13:00:00+07:00,26.99,4.25,2.65
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-26T09:00:00+00:00,2026-06-26T16:00:00+07:00,28.39,1.83,0.16
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-26T12:00:00+00:00,2026-06-26T19:00:00+07:00,27.83,5.43,0.6
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-26T15:00:00+00:00,2026-06-26T22:00:00+07:00,23.25,2.33,0
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-26T18:00:00+00:00,2026-06-27T01:00:00+07:00,25.19,1.87,0.95
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-26T21:00:00+00:00,2026-06-27T04:00:00+07:00,25.12,0.72,0.06
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-27T00:00:00+00:00,2026-06-27T07:00:00+07:00,27.47,3.06,1.65
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-27T03:00:00+00:00,2026-06-27T10:00:00+07:00,27.95,2.15,0
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-27T06:00:00+00:00,2026-06-27T13:00:00+07:00,24.67,7.72,0.26
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-27T09:00:00+00:00,2026-06-27T16:00:00+07:00,25.48,4.39,2.04
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-27T12:00:00+00:00,2026-06-27T19:00:00+07:00,27.12,3.19,0
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-27T15:00:00+00:00,2026-06-27T22:00:00+07:00,27.39,4.42,0.23
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-27T18:00:00+00:00,2026-06-28T01:00:00+07:00,26.38,2.63,2.28
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-27T21:00:00+00:00,2026-06-28T04:00:00+07:00,23.95,2.06,1.73
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-28T00:00:00+00:00,2026-06-28T07:00:00+07:00,32.7,3.71,0.24
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-28T03:00:00+00:00,2026-06-28T10:00:00+07:00,24.2,5.16,0.8
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-28T06:00:00+00:00,2026-06-28T13:00:00+07:00,32.25,2.91,1.44
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-28T09:00:00+00:00,2026-06-28T16:00:00+07:00,27.71,4.34,1.72
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-28T12:00:00+00:00,2026-06-28T19:00:00+07:00,31.76,3.41,5.43
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-28T15:00:00+00:00,2026-06-28T22:00:00+07:00,25.5,3.04,0.21
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-28T18:00:00+00:00,2026-06-29T01:00:00+07:00,26.3,2.27,0.28
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-28T21:00:00+00:00,2026-06-29T04:00:00+07:00,25.74,4.52,0.15
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-29T00:00:00+00:00,2026-06-29T07:00:00+07:00,27.93,4.53,0.45
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-29T03:00:00+00:00,2026-06-29T10:00:00+07:00,26.09,5.46,0.18
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-29T06:00:00+00:00,2026-06-29T13:00:00+07:00,28.37,2.94,0.02
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-29T09:00:00+00:00,2026-06-29T16:00:00+07:00,29.29,2.52,4.93
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-29T12:00:00+00:00,2026-06-29T19:00:00+07:00,23.25,5.49,0.4
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-29T15:00:00+00:00,2026-06-29T22:00:00+07:00,27.2,2.98,1.11
WS_TPHCM_04,Trạm Khí tượng Tân Sơn Hòa,TPHCM,10.7956,106.6667,2026-06-29T18:00:00+00:00,2026-06-30T01:00:00+07:00,31.29,4.84,0.75
