weather_station_id,weather_station_name,province,latitude,longitude,forecast_time_utc,forecast_time_vn,temperature_c,wind_speed_mps,precip_3h_mm
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-26T03:00:00+00:00,2026-06-26T10:00:00+07:00,25.72,0.8,1.92
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-26T06:00:00+00:00,2026-06-26T13:00:00+07:00,24.29,0.35,8.79
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-26T09:00:00+00:00,2026-06-26T16:00:00+07:00,30.83,0.5,0.55
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-26T12:00:00+00:00,2026-06-26T19:00:00+07:00,25.08,1.25,6.01
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-26T15:00:00+00:00,2026-06-26T22:00:00+07:00,27.34,0.76,0.28
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-26T18:00:00+00:00,2026-06-27T01:00:00+07:00,28.29,0.34,0.84
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-26T21:00:00+00:00,2026-06-27T04:00:00+07:00,28.04,0.08,0.3
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-27T00:00:00+00:00,2026-06-27T07:00:00+07:00,25.93,0.61,0
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-27T03:00:00+00:00,2026-06-27T10:00:00+07:00,24.64,0.99,3.06
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-27T06:00:00+00:00,2026-06-27T13:00:00+07:00,25.46,1.4,7.17
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-27T09:00:00+00:00,2026-06-27T16:00:00+07:00,23.04,0.82,1.77
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-27T12:00:00+00:00,2026-06-27T19:00:00+07:00,28.01,0.54,3.07
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-27T15:00:00+00:00,2026-06-27T22:00:00+07:00,29.16,0.68,3.1
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-27T18:00:00+00:00,2026-06-28T01:00:00+07:00,24.33,0.26,3.27
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-27T21:00:00+00:00,2026-06-28T04:00:00+07:00,27.76,1.13,0
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-28T00:00:00+00:00,2026-06-28T07:00:00+07:00,31.86,0.25,5.08
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-28T03:00:00+00:00,2026-06-28T10:00:00+07:00,24.88,0.66,9.09
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-28T06:00:00+00:00,2026-06-28T13:00:00+07:00,26.79,0.41,1.03
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-28T09:00:00+00:00,2026-06-28T16:00:00+07:00,25.68,1.24,2.44
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-28T12:00:00+00:00,2026-06-28T19:00:00+07:00,28.74,1.04,0.98
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-28T15:00:00+00:00,2026-06-28T22:00:00+07:00,25.87,0.12,11.31
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-28T18:00:00+00:00,2026-06-29T01:00:00+07:00,24.15,0.21,7.91
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-28T21:00:00+00:00,2026-06-29T04:00:00+07:00,27.46,0.12,8.66
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-29T00:00:00+00:00,2026-06-29T07:00:00+07:00,28.01,0.82,0.1
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-29T03:00:00+00:00,2026-06-29T10:00:00+07:00,24.78,0.75,5.62
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-29T06:00:00+00:00,2026-06-29T13:00:00+07:00,23.97,1.16,11.03
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-29T09:00:00+00:00,2026-06-29T16:00:00+07:00,25.35,0.79,2.22
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-29T12:00:00+00:00,2026-06-29T19:00:00+07:00,24.62,0.59,6.35
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-29T15:00:00+00:00,2026-06-29T22:00:00+07:00,26.87,0.65,5.27
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-29T18:00:00+00:00,2026-06-30T01:00:00+07:00,25.14,0.76,3.59
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-29T21:00:00+00:00,2026-06-30T04:00:00+07:00,25.36,0.46,0.64
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-30T00:00:00+00:00,2026-06-30T07:00:00+07:00,31.58,0.88,0.66
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-30T03:00:00+00:00,2026-06-30T10:00:00+07:00,28.78,1.25,1.37
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-30T06:00:00+00:00,2026-06-30T13:00:00+07:00,27.44,1.1,1.92
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-30T09:00:00+00:00,2026-06-30T16:00:00+07:00,25.33,0.8,0
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-30T12:00:00+00:00,2026-06-30T19:00:00+07:00,26.06,1.06,0.02
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-30T15:00:00+00:00,2026-06-30T22:00:00+07:00,29.07,1.0,0.12
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-30T18:00:00+00:00,2026-07-01T01:00:00+07:00,29.59,0.84,4.46
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-06-30T21:00:00+00:00,2026-07-01T04:00:00+07:00,25.94,0.78,1.75
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-01T00:00:00+00:00,2026-07-01T07:00:00+07:00,26.13,1.2,1.21
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-01T03:00:00+00:00,2026-07-01T10:00:00+07:00,26.81,1.0,2.5
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-01T06:00:00+00:00,2026-07-01T13:00:00+07:00,23.86,0.93,1.61
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-01T09:00:00+00:00,2026-07-01T16:00:00+07:00,31.2,0.79,5.27
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-01T12:00:00+00:00,2026-07-01T19:00:00+07:00,29.72,0.69,4.1
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-01T15:00:00+00:00,2026-07-01T22:00:00+07:00,25.65,0.59,1.83
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-01T18:00:00+00:00,2026-07-02T01:00:00+07:00,24.42,1.04,2.78
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-01T21:00:00+00:00,2026-07-02T04:00:00+07:00,24.72,1.11,0.02
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-02T00:00:00+00:00,2026-07-02T07:00:00+07:00,26.45,1.43,7.02
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-02T03:00:00+00:00,2026-07-02T10:00:00+07:00,24.33,0.59,3.84
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-02T06:00:00+00:00,2026-07-02T13:00:00+07:00,27.28,1.17,0
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-02T09:00:00+00:00,2026-07-02T16:00:00+07:00,28.37,0.87,5.32
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-02T12:00:00+00:00,2026-07-02T19:00:00+07:00,28.52,0.15,0.96
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-02T15:00:00+00:00,2026-07-02T22:00:00+07:00,24.83,0.42,2.33
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-02T18:00:00+00:00,2026-07-03T01:00:00+07:00,25.27,1.2,7.2
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-02T21:00:00+00:00,2026-07-03T04:00:00+07:00,24.06,1.06,0.05
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-03T00:00:00+00:00,2026-07-03T07:00:00+07:00,24.85,1.0,1.38
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-03T03:00:00+00:00,2026-07-03T10:00:00+07:00,26.22,0.24,3.02
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-03T06:00:00+00:00,2026-07-03T13:00:00+07:00,24.13,0.84,1.02
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-03T09:00:00+00:00,2026-07-03T16:00:00+07:00,24.87,0.83,4.49
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-03T12:00:00+00:00,2026-07-03T19:00:00+07:00,23.42,1.65,0.4
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-03T15:00:00+00:00,2026-07-03T22:00:00+07:00,24.78,1.08,2.43
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-03T18:00:00+00:00,2026-07-04T01:00:00+07:00,24.4,1.1,7.38
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-03T21:00:00+00:00,2026-07-04T04:00:00+07:00,24.74,0.52,5.03
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-04T00:00:00+00:00,2026-07-04T07:00:00+07:00,25.26,0.95,1.42
WS_TuyenQuang_03,Trạm Khí tượng Thủy văn Tràng Đà,Tuyên Quang,21.8551,105.1882,2026-07-04T03:00:00+00:00,2026-07-04T10:00:00+07:00,29.61,0.64,4.13
